objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,u-g,g-r,,,my 20 (19),,,,
1237671939804561470,6162,301,3,133,62,3,258.2083664,64.05294821,19.19729,16.99064,16.03191,15.5874,15.33404,0.04538317,0.004396979,0.003275655,0.003198166,0.006463799,2.20665,0.95873,,,,,,,
1237671939804561980,6162,301,3,133,572,3,258.1879167,64.03102217,21.07348,19.18147,18.28698,17.88602,17.5404,0.1428759,0.0128823,0.008909096,0.008866659,0.02161001,1.89201,0.89449,,,,,,,
1237671939804562579,6162,301,3,133,1171,3,258.1990411,64.02852847,23.8699,22.62782,21.66268,21.77282,21.33136,1.104584,0.1674954,0.1031014,0.1664404,0.4270499,1.24208,0.96514,,,,,,,
1237671939804562562,6162,301,3,133,1154,3,258.19237,64.02218656,24.6516,22.28948,22.13495,21.86064,21.41824,1.466687,0.1370267,0.1695249,0.1929302,0.4881097,2.36212,0.15453,,,,,,,
1237671939804562093,6162,301,3,133,685,3,258.1992723,64.0231935,22.75136,22.35798,21.22857,20.8281,20.53008,0.4488654,0.1234734,0.06542537,0.06586628,0.1963295,0.39338,1.12941,,,,,,,
1237671939804562580,6162,301,3,133,1172,3,258.2058051,64.01919986,22.08942,21.58161,20.73037,20.47097,19.88477,0.3065989,0.07461818,0.05099366,0.05891345,0.1380854,0.50781,0.85124,,,,,,,
1237671939804561495,6162,301,3,133,87,3,258.0692568,64.05868664,20.81291,18.6418,17.70591,17.27723,17.00225,0.1158588,0.009167989,0.006414275,0.006235367,0.01463485,2.17111,0.93589,,,,,,,
1237671939804561504,6162,301,3,133,96,3,258.0905969,64.05348172,23.55381,25.11438,19.4309,24.3618,18.65772,0.7146896,0.7932264,0.01456635,0.7922961,0.03437885,-1.56057,5.68348,,,,,,,
1237671939804562469,6162,301,3,133,1061,3,258.1114957,64.04911494,22.93759,21.8802,21.80108,21.24911,22.16021,0.9379188,0.136558,0.1900722,0.1744842,1.267723,1.05739,0.07912,,,,,,,
1237671939804561498,6162,301,3,133,90,3,258.0840246,64.02361784,21.45423,19.21607,18.09112,17.68946,17.45138,0.1700388,0.01187092,0.00713957,0.007075869,0.01764565,2.23816,1.12495,,,,,,,
1237671939804562464,6162,301,3,133,1056,3,258.1205752,64.02468912,23.21804,22.61485,21.48027,21.0523,21.20373,0.6013152,0.1415008,0.07302409,0.07266945,0.3089092,0.60319,1.13458,,,,,,,
1237671939804561487,6162,301,3,133,79,3,258.0805372,64.03563339,18.7973,16.61937,15.65794,15.25005,15.01369,0.06324691,0.005006138,0.003522045,0.003521375,0.008463643,2.17793,0.96143,,,,,,,
1237671939804561468,6162,301,3,133,60,3,258.0964727,64.03252475,19.7303,17.55445,16.54338,16.11172,15.77803,0.04538322,0.005149777,0.003739001,0.003663469,0.006476356,2.17585,1.01107,,,,,,,
1237671939804561477,6162,301,3,133,69,3,258.1059818,64.02211399,19.59399,17.56877,16.65828,16.25899,15.98137,0.05088142,0.005511921,0.004071861,0.004047822,0.008382238,2.02522,0.91049,,,,,,,
1237671939804562546,6162,301,3,133,1138,3,258.1757201,64.03345853,22.78532,22.32227,20.95516,20.57208,19.84498,0.4981164,0.1281935,0.05480131,0.05640119,0.1153707,0.46305,1.36711,,,,,,,
1237671939804561483,6162,301,3,133,75,3,258.1336347,64.03855602,19.54234,17.63774,16.64294,16.20488,15.96245,0.0586761,0.006904202,0.004506823,0.004314322,0.009600071,1.9046,0.9948,,,,,,,
1237671939804562511,6162,301,3,133,1103,3,258.1476786,64.04145144,24.20058,22.57696,22.30717,22.19261,22.32752,1.396989,0.1723588,0.1914705,0.2492467,0.8373465,1.62362,0.26979,,,,,,,
1237671939804561517,6162,301,3,133,109,3,258.1365252,64.03521324,24.63618,22.22476,24.80215,24.36184,19.47807,1.067114,0.1059703,0.6255133,0.6255248,0.06213064,2.41142,-2.57739,,,,,,,
1237671939804562849,6162,301,3,133,1441,3,258.1530269,64.03231668,25.84992,22.92823,22.1569,21.65299,21.82074,0.8437575,0.2281168,0.1625603,0.1526579,0.6231333,2.92169,0.77133,,,,,,,
1237671939804561519,6162,301,3,133,111,3,258.1435661,64.0362505,24.95818,22.50206,21.27932,20.89582,21.03615,0.9616108,0.1278318,0.05756337,0.05775103,0.2377399,2.45612,1.22274,,,,,,,
